prescription,Denomination,simd_deprivation_group,Full Address,Latitude,Longitude,Date First Listed,practice_name,Other,Notes,Citation,-----> Repeated ,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Ellsworth Apperson,M. E. C. ,W. H. M. S. ,Albuquerque New Mexico USA  ,35.0843859,-106.650422,1894-1895,F,"Superintendent, ""Harwood"" Home, Superintendent The Ebenezer Mitchell Home and School",,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),AR 16 (p. 14),AR 17 (p. 15),AR 18 (p. 15),AR 19 (p. 17),AR 20 (p. 19),,,,AR 24 (p.21),AR 25 (p. 21),AR 26 (p. 23),AR 27 (p. 26),AR 28 (p. 29),AR 29 (p. 29)
Miss Anita C. Rodriquez,M. E. C. ,W. H. M. S. ,Albuquerque New Mexico USA  ,35.0843859,-106.650422,1894-1895,F,"Assistant, Associate Superintendent ""Harwood"" Home",,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),AR 16 (p. 14),,,,,,,,,,,,,
Miss Christine Dickinson,M. E. C. ,W. H. M. S. ,Washington District of Columbia USA  ,38.9071923,-77.0368707,1894-1895,F,"Preceptress National Training School, Superintendent Deaconess Home",,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),,,,,,,,,,,,,,
Miss Laura O. Davis,M. E. C. ,W. H. M. S. ,Baltimore Maryland USA  ,39.2903848,-76.6121893,1894-1895,F,"Deaconess, Deaconess ""Davis"" Deaconess Home Salt Lake City, Utah",,AR 14 (p. 13),,,,,,,,,,,,,,,,AR 18 (p. 16),AR 19 (p. 18),AR 20 (p. 20),AR 21 (p. 21),AR 22 (p. 23),,,,,,,
Miss Annie Dugas,M. E. C. ,W. H. M. S. ,Baltimore Maryland USA  ,39.2903848,-76.6121893,1894-1895,F,Deaconess,,AR 14 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Kirstine Peterson,M. E. C. ,W. H. M. S. ,Baltimore Maryland USA  ,39.2903848,-76.6121893,1894-1895,F,Deaconess,,AR 14 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Annie Leidigh,M. E. C. ,W. H. M. S. ,Baltimore Maryland USA  ,39.2903848,-76.6121893,1894-1895,F,"Associate Deaconess and Matron, Superintendent ""Baltimore"" Deaconess Home",,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),AR 16 ( p. 14),AR 17 (p. 15),AR 18 (p. 16),AR 19 (p. 17),AR 20 (p. 19),AR 21 (p. 21),AR 22 (p. 23),AR 23 (p. 21),AR 24 (p. 22),,,,,
Mrs. E. Turney,M. E. C. ,W. H. M. S. ,Philadelphia Pennsylvannia USA  ,39.9525839,-75.1652215,1894-1895,F,"Superintendent Deaconess Home, Superintendent Genesee Conference Deaconess Home",Mrs. Emma Turney,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),AR 16 (p. 15),AR 17 (p. 15),AR 18 (p. 16),,AR 20 (p. 19),AR 21 (p. 21),AR 22 (p. 23),AR 23 (p. 21),AR 24 (p. 22),AR 25 (p. 23),,,,
Miss S. E. Eyler,M. E. C. ,W. H. M. S. ,Pittsburgh Pennsylvannia USA  ,40.4406248,-79.9958864,1894-1895,F,"Assistant Superintendent Deaconess Home, Superintendent Deaconess Dept.""Cunningham"" Deaconess Home and Orphanage",,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),AR 16 (p. 15),AR 17 (p. 15),AR 18 (p. 16),AR 19 (p. 17),,,,,,,,,,
Mrs. Kate Blackburn,M. E. C. ,W. H. M. S. ,Urbana Illinois USA  ,40.1105875,-88.2072697,1894-1895,F,Superintendent Cunningham Deaconess Home,,AR 14 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. F. C. Woodruff,M. E. C. ,W. H. M. S. ,Urbana Illinois USA  ,40.1105875,-88.2072697,1894-1895,F,"Matron Orphanage, Superintendent Orphanage Department ""Cunningham"" Deaconess Home and Orphanage ",,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),AR 16 (p. 15),AR 17 (p. 15),,,,,,,,,,,,
Mr. F. C. Woodruff,M. E. C. ,W. H. M. S. ,Urbana Illinois USA  ,40.1105875,-88.2072697,1894-1895,M,"Farmer Home and Orphanage, Superintendent Farming,""Cunningham"" Deaconess Home and Orphanage",,AR 14 (p. 13),,,,,,,,,,,,,AR 15 (p. 13),AR 16 (p. 15),AR 17 (p. 15),,,,,,,,,,,,
Mrs. Wright,M. E. C. ,W. H. M. S. ,South Atlanta Georgia USA  ,33.7123595,-84.3844304,1895-1896,F,"Assistant ""Thayer"" Industrial Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),AR 17 (p. 13),,,,,,,,,,,,
Miss Jeanette M. Baker,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1895-1896,F,"Missionary ""Boylan"" Home, Teacher",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),AR 17 (p. 13),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 18),AR 21 (p. 19),AR 22 (p. 21),AR 23 (p. 19),AR 24 (p. 21),,,,AR 28 (p. 29),AR 29 (p. 29)
Miss Mary E. Williams,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1895-1896,F,"Missionary ""Boylan"" Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),,,,,,,,,,,,,
Miss Edith L. Speer,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1895-1896,F,"Missionary ""Boylan"" Industrial Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),AR 17 (p. 13),AR 18 (p. 14),AR 19(p. 16),,AR 21 (p. 19),AR 22 (p. 21),,,,,,,
Mrs. J. D. Spear,M. E. C. ,W. H. M. S. ,Holly Springs Mississippi USA  ,34.7675967,-89.4486894,1895-1896,F,"Assistant, ""E. L. Rust"" Industrial Home, Teacher, ""Asheville"" Academy, Teacher, Lurandus Beach Industrial School",Mrs. J. D. Speer,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),,,,,AR 21 (p. 19),AR 22 (p. 21),,AR 24 (p. 21),,,,AR 28 (p. 28),AR 29 (p. 28)
Mrs. Daniel Richards,M. E. C. ,W. H. M. S. ,Clarkson Mississippi USA  ,33.6353968,-89.1495094,1895-1896,F,"Assistant ""Bennett"" Industrial Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),,,,,,,,,,,,,
Miss Nora Willingham,M. E. C. ,W. H. M. S. ,Clarkson Mississippi USA  ,33.6353968,-89.1495094,1895-1896,F,"Missionary, ""Bennett"" Home, Teacher ""Leech"" Home Spring City",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),,AR 18 (p. 16),AR 19 (p. 18),AR 20 (p. 20),AR 21 (p. 20),AR 22 (p. 22),AR 23 (p. 20),AR 24 (p. 22),,,,,
Mrs. Hilda M. Nasmyth,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1895-1896,F,"Superintendent, ""A. M. Smith"" Industrial Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 13),AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 18),AR 21 (p. 19),AR 22 (p. 21),AR 23 (p. 19),,AR 25 (p. 21),AR 26 (p. 23),AR 27 (p. 26),AR 28 (p. 28),AR 29 (p. 28)
Miss Mattie Elliott,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1895-1896,F,"Missionary, ""A. M. Smith"" Industrial Home",,AR 15 (p. 12),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. I. D. Snow,M. E. C. ,W. H. M. S. ,Morristown Tennessee USA  ,36.2139814,-83.2948922,1895-1896,F,"Assistant, ""New Jersey"" Industrial Home",,AR 15 (p. 12),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Lillian Huff,M. E. C. ,W. H. M. S. ,East Boston Massachusetts USA  ,42.3600825,-71.0588801,1895-1896,F,"Assistant, ""Immigrants' "" Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 14),AR 17 (p. 15),AR 18 (p. 15),AR 19 (p. 17),AR 20 (p. 19),AR 21 (p. 20),AR 22 (p. 23),,,,,,,
Mrs. Buckwalter,M. E. C. ,W. H. M. S. ,Philadelphia Pennsylvannia USA  ,39.9525839,-75.1652215,1895-1896,F,"Missionary, ""Immigrants' "" Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 14),,,,,,,,,,,,,
Mrs. D. E. Taylor,M. E. C. ,W. H. M. S. ,Cincinnati Ohio USA  ,39.1031182,-84.5120196,1895-896,F,"Superintendent, ""Glenn"" Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 14),,,,,,,,,,,,,
Miss Emma W. Feakin,M. E. C. ,W. H. M. S. ,Cincinnati Ohio USA  ,39.1031182,-84.5120196,1895-1896,F,"Missionary, Assistant Superintendent ""Glenn"" Home",,AR 15 (p. 12),,,,,,,,,,,,,,AR 16 (p. 14),,,,,,,,,,,,,
Miss Emma Wolfer,M. E. C. ,W. H. M. S. ,Cincinnati Ohio USA  ,39.1031182,-84.5120196,1895-1896,F,"Kindergartner, ""Glenn"" Home, Missionary",Miss E. W. Wolfer,AR 15 (p. 12),,,,,,,,,,,,,,,AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 17),AR 20 (p. 18),AR 21 (p. 20),AR 22 (p. 22),,AR 24 (p. 21),,AR 26 (p. 24),AR 27 (p. 27),AR 28 (p. 30),
Mrs. Robert Clement,M. E. C. ,W. H. M. S. ,Cincinnati Ohio USA  ,39.1031182,-84.5120196,1895-1896,F,"Matron, ""Glenn"" Home",,AR 15 (p. 12),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Helen M. Kingsbury,M. E. C. ,W. H. M. S. ,Provo Utah USA  ,40.2338438,-111.6585337,1895-1896,F,"Deaconess, ""East Ohio"" Home, Deaconess Ogden, Deaconess Logan",,AR 15 (p. 13),,,,,,,,,,,,,,AR 16 (p. 14),AR 17 (p. 14),AR 18 (p. 16),AR 19 (p. 18),AR 20 (p. 19),,,,,,,,,
Miss Agnes J. Sowle,M. E. C. ,W. H. M. S. ,Unalaska Alaska USA  ,53.8725737,-166.5375512,1895-1896,F,"Matron, ""Jesse Lee"" Home",,AR 15 (p. 13),,,,,,,,,,,,,,AR 16 (p. 14),,,,,,,,,,,,,
Miss Sarah J. Rinch,M. E. C. ,W. H. M. S. ,Unalaska Alaska USA  ,53.8725737,-166.5375512,1895-1896,F,"Assistant Matron, ""Jesse Lee"" Home",,AR 15 (p. 13),,,,,,,,,,,,,,AR 16 (p. 14),AR 17 (p. 15),AR 18 (p. 15),AR 19 (p. 17),,,,,,,,,,
Miss E. A. Mcillmoyl,M. E. C. ,W. H. M. S. ,Cleveland Ohio USA  ,41.49932,-81.6943605,1895-1896,F,Superintendent Deaconess Home,,AR 15 (p. 13),,,,,,,,,,,,,,AR 16 (p. 15),AR 17 (p. 15),AR 18 (p. 16),AR 19 (p. 17),AR 20 (p. 19),,,,,,,,,
Miss Elizabeth Humphrey,M. E. C. ,W. H. M. S. ,Deis Moines Iowa USA  ,41.5868417,-93.6249522,1895-1896,F,"Superintendent Deaconess Home, Superintendent Sioux City Deaconess Home",,AR 15 (p. 13),,,,,,,,,,,,,,AR 16 (p. 15),AR 17 (p. 15),AR 18 (p. 16),AR 19 (p. 18),AR 20 (p. 20),,,,,,,,,
Miss Winnefred Spaulding,M. E. C. ,W. H. M. S. ,Los Angeles Carlifonia USA  ,34.0549076,-118.242643,1895-1896,F,"Superintendent Deaconess Home, Superintendent,""Newark Conference"" Deaconess Home Jersey City, New Jersey, Superintendent ""Fisk"" Deaconess Home and Training-school, Kansas City",,AR 15 (p. 13),,,,,,,,,,,,,,AR 16 (p. 15),,,AR 19 (p. 18),AR 20 (p.  20),AR 21 (p. 21),,,,,,,,
Miss Letitia Jones,M. E. C. ,W. H. M. S. ,Savannah Georgia USA  ,32.0808989,-81.091203,1896-1897,F,"Assistant, ""Haven"" Home",,AR 16 (p. 13),,,,,,,,,,,,,,,AR 17 (p. 13),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 17),AR 21 (p. 18),AR 22 (p. 21),AR 23 (p. 19),,,,,,
Miss Ora Silvey,M. E. C. ,W. H. M. S. ,Holly Springs Mississippi USA  ,34.7675967,-89.4486894,1896-1897,F,"Superintendent, ""E. L. Rust"" Industrial Home",,AR 16 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Abby S. Putnam,M. E. C. ,W. H. M. S. ,Clarkson Mississippi USA  ,33.6353968,-89.1495094,1896-1897,F,"Superintendent,""Bennett"" Industrial Home, Missionary, Ephraim Utah",,AR 16 (p. 13),,,,,,,,,,,,,,,AR 17 (p. 14),AR 18 (p. 14),,,AR 21 (p. 20),,,,,,,,
Miss,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1896-1897,F,"Assistant, ""A.M. Smith"" Industrial Home",,AR 16 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Rose Robertson,M. E. C. ,W. H. M. S. ,New Orleans Louisiana USA  ,29.9510658,-90.0715323,1896-1897,F,"Missionary, Italian Work, Missionary ""Leech"" Home, Superintendent King Industrial Home, Marshall, Texas",Miss Rose T. Robertson,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),,,,,AR 22 (p. 22),AR 23 (p. 20),,AR 25 (p. 21),AR 26 (p. 23),AR 27 (p. 26),,AR 29 (p. 28)
Miss,M. E. C. ,W. H. M. S. ,Ashville North Carolina USA  ,35.5950581,-82.5514869,1896-1897,F,"Superintendent, ""Allen Ind."" Home and School, Teacher, Primary Department, ""Asheville"" Academy",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),AR 18 (p. 14),,,,,,,,,,,
Miss Ella T. Smith,M. E. C. ,W. H. M. S. ,Camden South Carolina USA  ,34.2465393,-80.6070237,1896-1897,F,"Assistant,""Browning"" Industrial Home",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),,,,,,,,,,,,
Miss Rachel Jefferson,M. E. C. ,W. H. M. S. ,Morristown Tennessee USA  ,36.2139814,-83.2948922,1896-1897,F,"Assistant,"" New Jersey"" Industrial Home",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 18),,AR 22 (p. 21),AR 23 (p. 20),AR 24 (p. 21),AR 25 (p. 21),AR 26 (p. 23),,,
Miss Alice Blanchard,M. E. C. ,W. H. M. S. ,Tivoli New York USA  ,42.0584242,-73.9093003,1896-1897,F,"Teacher,""Watts de Peyster"" Home, Missionary and Kindegartner ""Thompson"" Home Mt Pleasant Utah, Deaconess ""Palen"" Home Richfield Utah",,AR 16 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 16),,,,,,,,,,,
Mrs. Clara Kemble,M. E. C. ,W. H. M. S. ,Tivoli New York USA  ,42.0584242,-73.9093003,1896-1897,F,"Matron,""Watts de Peyster"" Home",,AR 16 (p. 14),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Anna Ritter,M. E. C. ,W. H. M. S. ,Chicago Illinois USA  ,41.8781136,-87.6297982,1896-1897,F,"Matron,""E. E. Marcy"" Home",,AR 16 (p.14),,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Wheeler,M. E. C. ,W. H. M. S. ,Chicago Illinois USA  ,41.8781136,-87.6297982,1896-1897,F,"Assistant,""E. E. Marcy"" Home",,AR 16 (p. 14),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Bertha Fowler,M. E. C. ,W. H. M. S. ,Chicago Illinois USA  ,41.8781136,-87.6297982,1896-1897,F,"Evangelist,""E.E. Marcy"" Home, Superintendent ""Elizabeth E. Marcy"" Industrial Home, Superintendent Philadelphia Deaconess Home",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 17),AR 20 (p. 18),AR 21 (p. 20),AR 22 (p. 22),AR 23 (p. 21),AR 24 (p.23),AR 25 (p. 23),AR 26 (p. 25),,,
Miss Anna Bassett,M. E. C. ,W. H. M. S. ,Cincinnati Ohio USA  ,39.1031182,-84.5120196,1896-1897,F,"""Glenn"" Home, Deaconess",Miss A. R Bassett,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 17),AR 20 (p. 18),AR 21 (p. 20),AR 22 (p. 22),AR 23 (p. 21),AR 24 (p. 21),AR 25 (p. 22),"AR 26 (p. 24, 26)",AR 27 (p. 27),AR 28 (p. 30),
Mrs. R. E. Stone,M. E. C. ,W. H. M. S. ,Cincinnati Ohio USA  ,39.1031182,-84.5120196,1896-1897,F,"Matron ""Glenn"" Home, Superintendent, Missionary",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),AR 18 (p. 14),AR 19 (p. 17),,,,,,,,,,
Miss Jennie Potter,M. E. C. ,W. H. M. S. ,Mt. Pleasant Utah USA  ,39.5469073,-111.4554659,1896-1897,F,"Deaconess ""Thompson"" Home, Teacher ""Moroni""",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 14),,,,,,,,,,,,
Miss C. L. Simonson,M. E. C. ,W. H. M. S. ,Spring City Utah USA  ,39.482463,-111.4960236,1896-1897,F,"Teacher,""Leech"" Home",,AR 16 (p. 14),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Alice Oberg,M. E. C. ,W. H. M. S. ,Richfield Utah USA  ,38.7724673,-112.0840943,1896-1897,F,"Missionary,""Palen"" Home",,AR 16  (p. 14),,,,,,,,,,,,,,,,,,,,,,,,,,,
Prof. Harriette J. Cooke,M. E. C. ,W. H. M. S. ,Boston Massachusetts USA  ,42.3600825,-71.0588801,1896-1897,F,"Superintendent ""Medical Mission""",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 15),,,,,,,AR 25 (p. 22),,,,
Miss Addie Wade,M. E. C. ,W. H. M. S. ,Boston Massachusetts USA  ,42.3600825,-71.0588801,1896-1897,F,"Nurse Boston, ""Medical Mission""",,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 15),,,,,,,,,,,
Miss Idah H. Rodgers,M. E. C. ,W. H. M. S. ,Washington District of Columbia USA  ,38.9071923,-77.0368707,1896-1897,F,Preceptress National Training School,,AR 16 (p. 14),,,,,,,,,,,,,,,AR 17 (p. 15),,,,,,,,,,,,
Dr. W. W. Clarke,M. E. C. ,W. H. M. S. ,Brooklyn New York USA  ,40.6781784,-73.9441579,1896-1897,F,Superintendent Deaconess Home,,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 16),,,,,,,,,,,
Mrs. Georgiana Clark,M. E. C. ,W. H. M. S. ,Syracuse New York USA  ,43.0481221,-76.1474244,1896-1897,F,"Superintendent Deaconess Home, Superintendent Deaconess Department, ""Cunningham"" Deaconess Home and Orphanage, Urbana Illinois,  Superintendent Newark Conference Deaconess Home, Deaconess, Portland Maine",,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),,AR 19 (p. 18),AR 20 (p. 20),,,,,,,,,
Miss Mary Crawford,M. E. C. ,W. H. M. S. ,Urbana Illinois USA  ,40.1105875,-88.2072697,1896-1897,F,"Deaconess, ""Cunningham"" Deaconess Home and Orphanage",,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),,,,,,,,,,,,
Miss H. T. Ganiere,M. E. C. ,W. H. M. S. ,Urbana Illinois USA  ,40.1105875,-88.2072697,1896-1897,F,"Deaconess, ""Cunningham"" Deaconess Home and Orphanage, Deaconess, Baltimore Deaconess Home",,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 16),,,,,,,,,,,
Miss Cartes K. Schwartz,M. E. C. ,W. H. M. S. ,Mt. Carmel Pennsylvannia USA  ,40.7970312,-76.4118961,1896-1897,F,"Deaconess, Superintendent Deaconess Home Indianapolis, Indiana, Superintendent Newark Conference Deaconess Home Jersey City, New Jersey, Superintendent Newark Conference Deaconness Home Newark, New Jersey",,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 16),,,,,,,,,,,
Miss Leone Bartolet,M. E. C. ,W. H. M. S. ,Shamokin Pennsylvannia USA  ,40.7889746,-76.5588473,1896-1897,F,Deaconess,,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 16),,,,,,,,,,,
Miss Margarette Lake,M. E. C. ,W. H. M. S. ,San Francisco Carlifonia USA  ,37.7749295,-122.4194155,1896-1897,F,"Missionary, Orientals",,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 16),,,,,,,,,,,
Miss Zamada,M. E. C. ,W. H. M. S. ,San Francisco Carlifonia USA  ,37.7749295,-122.4194155,1896-1897,F,"Missionary, Orientals",,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 16),,,,,,,,,,,
Mrs. Fong To,M. E. C. ,W. H. M. S. ,San Francisco Carlifonia USA  ,37.7749295,-122.4194155,1896-1897,F,Interpreter,,AR 16 (p. 15),,,,,,,,,,,,,,,AR 17 (p. 15),AR 18 (p. 16),,,,,,,,,,,
Miss Lottie Crogman,M. E. C. ,W. H. M. S. ,South Atlanta Georgia USA  ,33.7123595,-84.3844304,1897-1898,F,"Assistant,""Thayer"" Industrial Home",,AR 17 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Mattie Hill,M. E. C. ,W. H. M. S. ,South Atlanta Georgia USA  ,33.7123595,-84.3844304,1897-1898,F,"Assistant,""Thayer"" Industrial Home",,AR 17 (p. 13),,,,,,,,,,,,,,,,AR 18 (p. 14),AR 19 (p. 16),,,,,,,,,,
Miss - Hyde,M. E. C. ,W. H. M. S. ,South Atlanta Georgia USA  ,33.7123595,-84.3844304,1897-1898,F,"Assistant,""Thayer"" Industrial Home",,AR 17 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Barbara A. Jennings,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1897-1898,F,"Missionary,""Boylan"" Industrial Home, Mothers' Jewels Home",,AR 17 (p. 13),,,,,,,,,,,,,,,,,AR 19 (p. 16),,,,,AR 24 (p. 21),AR 25 (p. 22),AR 26 (p. 24),AR 27 (p. 27),AR 28 (p. 29),
Miss Amy Robins,M. E. C. ,W. H. M. S. ,Jacksonville Florida USA  ,30.3321838,-81.655651,1897-1898,F,"Missionary,""Boylan"" Industrial Home",,AR 17 (p. 13),,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Grace Dempster,M. E. C. ,W. H. M. S. ,Holly Springs Mississippi USA  ,34.7675967,-89.4486894,1897-1898,F,"Assistant,""E. L. Rust"" Industrial Home",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 14),,,,,,,,,,,
Miss Clara Putnam,M. E. C. ,W. H. M. S. ,Clarkson Mississippi USA  ,33.6353968,-89.1495094,1897-1898,F,"Assistant ""Bennett"" Industrial Home",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 14),,,,,,,,,,,
Prof. WM. A. Davis,M. E. C. ,W. H. M. S. ,Clarkson Mississippi USA  ,33.6353968,-89.1495094,1897-1898,M,"President ""Bennet"" Industrial Home, Superintendent Cunningham Orphanage",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 18),,,,,AR 25 (p. 22),AR 26 (p. 24),AR 27 (p. 27),AR 28 (p. 30),
Miss Maggie Willingham,M. E. C. ,W. H. M. S. ,Clarkson Mississippi USA  ,33.6353968,-89.1495094,1897-1898,F,"Preceptress ""Bennett"" Industrial Home",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 14),AR 19 (p. 16),,,,,,,,,,
Mrs . J. W. Willingham,M. E. C. ,W. H. M. S. ,Clarkson Mississippi USA  ,33.6353968,-89.1495094,1897-1898,F,"Matron ""Dickson"" Hall",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 14),,,,,,,,,,,
Mrs. K. Blakely,M. E. C. ,W. H. M. S. ,Little Rock Arkansas USA  ,34.7444618,-92.2880157,1897-1898,F,"Assistant ""Adeline Smith"" Industrial Home",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 14),AR 19 (p. 16),,,,,,,,,,
Miss Kate Doughty,M. E. C. ,W. H. M. S. ,Ashville North Carolina USA  ,35.5950581,-82.5514869,1897-1898,F,"Superintendent, ""Allen"" Industrial Home",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 14),AR 19 (p. 16),AR 20 (p. 18),AR 21 (p. 19),AR 22 (p. 21),,,,,,,
Miss Vesta Ferrabee,M. E. C. ,W. H. M. S. ,Orangeburg South Carolina USA  ,33.4918203,-80.8556476,1897-1898,F,"Assistant, ""Simpson"" Industrial Home, Industrial Teacher,""Mather"" Academy",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 15),AR 19 (p. 16),AR 20 (p. 18),AR 21 (p. 19),AR 22 (p. 21),AR 23 (p. 19),,,,,,
Miss Elizabeth Wilson,M. E. C. ,W. H. M. S. ,Athens Tennessee USA  ,35.4428512,-84.5929898,1897-1898,F,"Assistant, ""Ritter"" Industrial Home",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 15),AR 19 (p. 16),AR 20 (p. 18),AR 21 (p. 19),AR 22 (p. 22),AR 23 (p. 20),,,AR 27 (p. 26),,AR 28 (p. 28),AR 29 (p. 28)
Rev. E. R. Ackerly,M. E. C. ,W. H. M. S. ,Tivoli New York USA  ,42.0584242,-73.9093003,1897-1898,F,"Superintendent, ""Watts de Peyster"" Industrial Home and School for Girls",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 15),AR 19 (p. 16),,,,,,,,,,
Mrs. E. R. Ackerly,M. E. C. ,W. H. M. S. ,Tivoli New York USA  ,42.0584242,-73.9093003,1897-1898,F,"Assistant, ""Watts de Peyster"" Industrial Home and School",,AR 17 (p. 14 ,,,,,,,,,,,,,,,,AR 18 (p. 15),AR 19 (p. 17),,,,,,,,,,
Miss Annette Schveder,M. E. C. ,W. H. M. S. ,Tivoli New York USA  ,42.0584242,-73.9093003,1897-1898,F,"Teacher, ""Watts de Peyster"" Industrial Home and School, Matron",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 15),AR 19 (p. 17),AR 20 (p. 18),,,AR 23 (p. 21),,AR 25 (p. 22),,,,
Miss  Kate Feroe ,M. E. C. ,W. H. M. S. ,Tivoli New York USA  ,42.0584242,-73.9093003,1897-1898,F,"Industrial Teacher, ""Watts de Peyster"" Industrial Home and School",,AR 17 (p. 14),,,,,,,,,,,,,,,,AR 18 (p. 15),AR 19 (p. 17),AR 20 (p. 18),AR 21 (p. 20),,,,,,,,
